종목,코드,구간,단기,장기,CAGR,MDD,단순보유CAGR,매매횟수
LG화학,051910,2,20,40,-18.52,-54.49,10.18,26
LG화학,051910,2,20,60,-14.33,-56.96,10.18,18
LG화학,051910,2,20,90,-7.02,-45.87,10.18,16
LG화학,051910,2,20,120,-15.64,-52.27,10.18,16
LG화학,051910,2,20,150,-4.89,-31.17,10.18,4
LG화학,051910,2,25,40,-16.33,-54.83,10.18,26
LG화학,051910,2,25,60,-12.46,-50.66,10.18,18
LG화학,051910,2,25,90,-0.81,-33.65,10.18,12
LG화학,051910,2,25,120,-2.92,-34.21,10.18,8
LG화학,051910,2,25,150,-5.67,-34.59,10.18,3
LG화학,051910,2,30,40,-18.57,-56.61,10.18,24
LG화학,051910,2,30,60,-13.17,-51.86,10.18,18
LG화학,051910,2,30,90,3.75,-34.67,10.18,10
LG화학,051910,2,30,120,2.73,-24.32,10.18,8
LG화학,051910,2,30,150,-4.19,-30.6,10.18,3
LG화학,051910,3,5,20,-14.83,-48.55,-24.64,49
LG화학,051910,3,5,40,-5.22,-34.68,-24.64,27
LG화학,051910,3,5,60,-16.54,-46.13,-24.64,26
LG화학,051910,3,5,90,-16.52,-50.36,-24.64,18
LG화학,051910,3,5,120,-18.52,-62.06,-24.64,16
LG화학,051910,3,5,150,-3.12,-42.36,-24.64,10
LG화학,051910,3,10,20,-14.24,-52.87,-24.64,39
LG화학,051910,3,10,40,-11.64,-39.26,-24.64,20
LG화학,051910,3,10,60,-17.31,-45.21,-24.64,18
LG화학,051910,3,10,90,-7.74,-32.98,-24.64,10
LG화학,051910,3,10,120,-10.42,-52.02,-24.64,10
LG화학,051910,3,10,150,-1.4,-47.31,-24.64,6
LG화학,051910,3,15,20,-17.25,-53.53,-24.64,45
LG화학,051910,3,15,40,-1.77,-37.78,-24.64,20
LG화학,051910,3,15,60,-7.84,-45.53,-24.64,14
LG화학,051910,3,15,90,-6.82,-38.88,-24.64,10
LG화학,051910,3,15,120,-14.44,-60.27,-24.64,12
LG화학,051910,3,15,150,-6.95,-47.41,-24.64,6
LG화학,051910,3,20,40,-3.33,-46.48,-24.64,20
LG화학,051910,3,20,60,-9.66,-43.47,-24.64,18
LG화학,051910,3,20,90,-3.69,-37.12,-24.64,8
LG화학,051910,3,20,120,-6.29,-45.07,-24.64,6
LG화학,051910,3,20,150,-3.58,-41.41,-24.64,4
LG화학,051910,3,25,40,-2.86,-46.01,-24.64,22
LG화학,051910,3,25,60,-14.65,-49.42,-24.64,16
LG화학,051910,3,25,90,-9.4,-40.18,-24.64,8
LG화학,051910,3,25,120,-7.26,-48.95,-24.64,4
LG화학,051910,3,25,150,1.49,-37.59,-24.64,4
LG화학,051910,3,30,40,-8.96,-41.24,-24.64,20
LG화학,051910,3,30,60,-21.78,-54.67,-24.64,14
LG화학,051910,3,30,90,-7.68,-38.95,-24.64,6
LG화학,051910,3,30,120,-9.15,-52.8,-24.64,4
LG화학,051910,3,30,150,-5.58,-46.19,-24.64,4
